season,label,IEseason,DEseason,weedSeed,weedComp,NReq,Nlost,wheat,hi wheat,lupins harvested,sprayed pasture,canola,lupins manured,ppasture
1,0.05,0.55,1.45,0.506543912,1,1,0,0.342058549,0.424301231,0.013087824,0.342058549,0,0.013087824,0.917757319
2,0.1,0.6,1.4,0.61553453,1,1,0,0.487379374,0.551456952,0.231069061,0.487379374,0,0.231069061,0.935922422
3,0.15,0.65,1.35,0.689069983,1,1,0,0.585426644,0.637248314,0.378139966,0.585426644,0.170853288,0.378139966,0.948178331
4,0.2,0.7,1.3,0.74751363,1,1,0,0.663351507,0.705432568,0.49502726,0.663351507,0.326703013,0.49502726,0.957918938
5,0.25,0.75,1.25,0.797653075,1,1,0,0.7302041,0.763928587,0.59530615,0.7302041,0.4604082,0.59530615,0.966275512
6,0.3,0.8,1.2,0.842679846,1,1,0,0.790239795,0.816459821,0.685359692,0.790239795,0.58047959,0.685359692,0.973779974
7,0.35,0.85,1.15,0.88440386,1,1,0,0.845871813,0.865137837,0.76880772,0.845871813,0.691743627,0.76880772,0.980733977
8,0.4,0.9,1.1,0.923995869,1,1,0,0.898661159,0.911328514,0.847991738,0.898661159,0.797322317,0.847991738,0.987332645
9,0.45,0.95,1.05,0.962301596,1,1,0,0.949735461,0.956018529,0.924603192,0.949735461,0.899470923,0.924603192,0.993716933
10,0.5,1,1,1,1,1,0,1,1,1,1,1,1,1
11,0.55,1.05,0.95,1.037698404,1,1,0,1,1.043981471,1,1,1.125661347,1,1
12,0.6,1.1,0.9,1.076004131,1,1,0,1,1.088671486,1,1,1.253347103,1,1
13,0.65,1.15,0.85,1.11559614,1,1,0,1,1.134862163,1,1,1.385320466,1,1
14,0.7,1.2,0.8,1.157320154,1,1,0,1,1.183540179,1,1,1.524400513,1,1
15,0.75,1.25,0.75,1.202346925,1,1,0,1,1.236071413,1,1,1.67448975,1,1
16,0.8,1.3,0.7,1.25248637,1,1,0,1,1.294567432,1,1,1.841621234,1,1
17,0.85,1.35,0.65,1.310930017,1,1,0,1,1.362751686,1,1,2.036433389,1,1
18,0.9,1.4,0.6,1.38446547,1,1,0,1,1.448543048,1,1,2.281551566,1,1
19,0.95,1.45,0.55,1.493456088,1,1,0,1,1.575698769,1,1,2.644853627,1,1
